Citation Key,Paper Title,Year,Method Category,Robot Platform,Sensors,State Estimator,Estimated State Variables,Propagation Model,Measurement or Update Model,Slip Handling Type,Contact Assumption,Training or Prior Data Required,Ground Truth Used,Validation Type,Terrain or Environment,Main Finding,Quantitative Result,Author-Stated Limitation,Limitation Relevant to This Thesis,Relevance to This Thesis,Evidence Page or Section,Verification Status,Notes,Final Section,Role
Yousuf2016,"Sensor fusion of INS, odometer and GPS for robot localization",2016,Conventional wheel-INS-GPS fusion,Differential-drive mobile robot model,INS (accelerometer and gyroscope); wheel odometer; GPS,Six-state linear Kalman Filter followed by weighted fusion with GPS,x- and y-acceleration; x- and y-velocity; x- and y-position,Planar kinematic state propagation using acceleration and velocity,Accelerometer measurements and odometer-derived x-y position update the KF; the KF position output is then combined with GPS using a manually selected weight,None,Conventional differential-drive wheels with implicit continuous rolling contact; no explicit contact model,No training; GPS/KF weighting parameter alpha is selected manually for the operating scenario,Simulated robot trajectory,MATLAB/Simulink simulation,Arbitrary simulated planar trajectory; indoor/outdoor applicability is discussed but not experimentally tested,The weighted combination of KF and GPS output follows the simulated trajectory more closely and converges faster than the KF output alone,No numerical localization-error metric is reported; results are presented qualitatively in trajectory plots,"No explicit limitation of the complete method is stated; the paper notes GPS degradation indoors, gyroscope drift, and wheel-odometer errors caused by slip",The method does not detect or reject slip-affected wheel measurements and assumes a conventional continuous-wheel model,"Provides a basic example of conventional wheel-inertial fusion and shows why combining sensors can improve localization, but it does not address slip-aware fusion",Abstract; Sections V-VI; Section VII; Section VIII; Section IX,Fully verified,GPS is not included directly in the Kalman update; it is fused afterward using a weighted sum,Wheel--Inertial Odometry Fusion,Core
Das2021,A Comparison of Robust Kalman Filters for Improving Wheel-Inertial Odometry in Planetary Rovers,2021,Robust wheel-inertial odometry,Pathfinder testbed planetary rover,ADIS-16495 IMU (50 Hz); custom wheel encoder (10 Hz); NovAtel GPS/DGPS for initialization and reference truth,"Error-state EKF (CoreNav) with Huber, covariance-scaling, and variational robust-filter variants",15-state error vector: attitude error; velocity error; position error; accelerometer bias; gyroscope bias,IMU-based inertial error-state propagation,"Wheel-odometry correction using longitudinal wheel speed and heading rate, with lateral/vertical nonholonomic pseudo-measurements and zero-velocity updates",Robust de-weighting or covariance adaptation for erroneous wheel-odometry measurements; no explicit physical slip-ratio estimation,Conventional wheels with nonholonomic motion constraints and implicit continuous wheel-ground contact,Filter parameters are manually tuned on one dataset and reused on similar datasets,Post-processed differential GPS reference generated with RTKLIB,Real-rover field experiments on three datasets,"Low-feature rough Mars-analog terrain consisting of coal-ash residuals in Point Marion, Pennsylvania","Robust filtering generally improves the standard wheel-inertial EKF, but the best method depends on the dataset; variational filters perform best in two runs while Huber/covariance-scaling methods improve the third","RMS position error: CoreNav = 26.65/16.09/25.82 m for tests 1-3; best values were ORKF3 = 13.34 m (test 1), CSKF = 13.82 m (test 2), and ORKF2 = 11.67 m (test 3)","Parameters can require retuning for different terrain; the small measurement vector limits inference of the measurement-noise distribution; future work calls for more datasets, longer distances, and online parameter learning",The method treats wheel odometry as an aggregate conventional-wheel measurement and does not model individual rimless-wheel spoke contacts,Directly relevant as an example of handling slip-corrupted wheel updates through robust innovation weighting rather than explicit slip compensation,Sections III and V-VII; Table 1; Tables 2-3; Conclusion and Future Work,Fully verified,CSKF uses a chi-square test with 4 degrees of freedom and threshold 9.488; an outlier in one component can de-weight the entire measurement vector,Wheel--Inertial Odometry Fusion,Core
Xiaobo2024,Multi-sensor Fusion SLAM Algorithm Considering Wheel Slip,2024,Slip detection and wheel-measurement rejection,Dual-wheel differential-drive automated guided vehicle (AGV),WLR-720 LiDAR; ASM330LHH 6-axis IMU; drive-module wheel encoders,15-state Error-State Kalman Filter for wheel-IMU odometry within a LiDAR SLAM system,Position; velocity; attitude; accelerometer bias; gyroscope bias,"IMU integration propagates position, velocity, attitude, and IMU biases",Wheel-speed odometry corrects the IMU-propagated state during normal operation; LiDAR odometry and loop closure are used by the wider SLAM system,"Slip-ratio calculation, threshold-based slip detection, and rejection of wheel-odometry measurements",Fixed left/right wheel radii and conventional continuous differential-drive rolling contact,No training; uses a predefined severe-slip threshold of slip ratio greater than 0.2,Map and pose results are compared with the actual workshop environment; the exact independent pose-reference method is not clearly described,Real-AGV indoor experiment,"Flat-floor robot-company workshop with walls, pillars, and machinery",Discarding wheel odometry during severe slip and relying on IMU data reduces slip-induced pose and mapping errors,Average pose error decreases from about 0.32 m to 0.07 m (about 78% reduction); reported map accuracy returns from about 85% to above 95%,"No explicit limitation of the complete method is stated; the paper discusses LiDAR sensitivity to environmental obstruction, IMU integration drift, and wheel-odometry error during slip",The slip-ratio calculation assumes fixed-radius continuous wheels and therefore does not directly represent discontinuous rimless-wheel spoke contacts,"Closely related because it rejects wheel measurements when slip is detected, but it uses a conventional slip-ratio model rather than PCV innovation consistency",Sections II-C and III; Section IV; Section V; Figures 13-14; Conclusion,Fully verified,"The method section uses the term ESKF, while the conclusion refers more generally to EKF",Slip Detection and Slip-Aware Odometry,Core
Liu2020,Slip-Aware Motion Estimation for Off-Road Mobile Robots via Multi-Innovation Unscented Kalman Filter,2020,Model-based slip-aware wheel-IMU-GNSS fusion,DUBHE four-wheeled skid-steered mobile robot,GNSS; IMU; wheel encoders,Multi-Innovation Unscented Kalman Filter (MI-UKF),Planar position X-Y; heading; longitudinal velocity; lateral velocity; yaw rate; wheel-slip quantities derived from ICR estimates,Planar kinematic process model driven by IMU acceleration measurements,"GNSS and encoder-derived ICR position, orientation, and velocity measurements update the UKF; multiple historical innovations are stacked in the update",Slip estimation and kinematic compensation through an asymmetric Instantaneous Center of Rotation model; wheel measurements are not rejected,Center of gravity at body center; flat ground; wheels on each side rotate at equal speed; all wheels remain in contact with the ground with equal constant radii,No learned training model; requires kinematic assumptions and manually specified filter/noise parameters,GNSS position is treated as the reference for position-error evaluation,Real-robot field experiments,"Flat dirt ground with straight, large-radius curved, and small-radius curved trajectories; tests include 4 m/s speed, about 100 m travel, and sideslip up to 40 degrees","The ICR slip model substantially improves odometry, and multi-innovation updates further improve position, orientation, and velocity estimates, particularly during turning","Position RMSE for En-DR/ICR/UKF+ICR/MI-UKF was 4.886/1.041/0.109/0.104 m, 14.695/5.850/0.701/0.677 m, and 0.224/0.139/0.017/0.014 m for the three scenarios; the authors summarize about 80% reduction from ICR modeling and about 10% additional reduction from MI-UKF","Application to discontinuous state spaces needs further investigation, and the computational burden of MI-UKF may be significant","Its assumptions of constant-radius wheels, continuous contact, flat terrain, and equal wheel speeds on each side do not match independent discontinuous spoke contacts of a rimless wheel",Useful contrast to the proposed method because it estimates and compensates slip through a vehicle kinematic model rather than rejecting inconsistent individual contact-velocity measurements,Abstract; Section III-A; Sections IV-V; Table 2; Section VI,Fully verified,"GNSS is both fused by the estimator and used as the reference for reported position RMSE, so the evaluation reference is not fully independent",Wheel--Inertial Odometry Fusion,Core
Zarei2024,Sequential Sensor Fusion for Slip Estimation in Mobile Robots,2024,Proprioceptive slip estimation using track-to-track UKF fusion,Simulated six-wheel lunar wheeled mobile robot with steerable wheels,IMU; steering-angle measurements; wheel encoders,Network of local UKFs fused using Sequential SLR/UKF Track-to-Track Fusion (S2 UTF),Body longitudinal velocity; body lateral velocity; yaw rate; per-wheel-set longitudinal slip ratio derived from the estimated motion and encoder speed,"Continuous-time rigid-body velocity model driven by IMU linear and angular acceleration, discretized with Euler-Maruyama",Each wheel-set agent uses its steering angle as a measurement; local UKF tracks are fused sequentially while propagating cross-correlations,Online longitudinal slip-ratio estimation; no measurement rejection,Ackermann steering geometry; negligible lateral slip angle; fixed-radius conventional wheels with continuous contact,No training; model and covariance parameters are specified for the simulation,True states from the high-fidelity software-in-the-loop digital-twin simulation,High-fidelity software-in-the-loop simulation with 200 Monte Carlo runs,Simulated six-wheel lunar rover using a Vortex Studio wheel-soil contact model; high- and low-traction straight motion and circular motion,S2 UTF provides consistent real-time slip estimates while balancing accuracy and computational cost better than the compared consistent fusion methods,"S2 UTF ANEES values were 1.1003, 1.0662, and 0.9288 for high-traction straight, low-traction straight, and circular tests; corresponding ARMSE values were 0.1983, 0.0012, and 0.0004",The paper identifies integration of S2 UTF into the rover feedback-control system as immediate future work; no real-world experiment is presented,"The estimator assumes negligible lateral slip and continuous circular-wheel contact and is validated only in simulation, so it does not address uncertain rimless-wheel spoke contact","Relevant as a purely proprioceptive planetary-rover slip estimator, but it estimates aggregate wheel-set slip rather than individual spoke-tip consistency",Sections IV-V; Equations 38-43; Table I; Section VI,Fully verified,The proposed method mainly targets fusion consistency and cross-correlation handling; all methods had the same order of accuracy in the reported tests,Slip Detection and Slip-Aware Odometry,Supporting
Ward2007,Classification-Based Wheel Slip Detection and Detector Fusion for Outdoor Mobile Robots,2007,Supervised learning-based immobilization detection and detector fusion,DARPA LAGR autonomous mobile robot; four pneumatic tires; front-wheel differential drive,Xsens MT9 IMU; front-wheel encoders or tachometers; differential GPS available but not used by the detector,Radial-basis-function support vector machine classifier; classifier output is also fused with a separate dynamic-model-based EKF detector,"No continuous vehicle state is estimated by the SVM; output classes are normal, immobilized, or optionally unknown",None for the SVM classifier; the separate dynamic-model detector uses an EKF described in a companion work,"Offline-trained SVM uses roll-rate variance, pitch-rate variance, high-frequency vertical-acceleration content, and optionally mean wheel angular acceleration; two fusion rules combine the SVM and model-based detector outputs",Immobilization detection and detector fusion; no slip-ratio estimation or wheel-measurement correction,Conventional pneumatic wheels with implicit continuous wheel-ground contact,"Hand-labelled offline training data; 408 training instances collected over mud, loose mulch, and grass, including 14 immobilization events; SVM parameters selected by cross-validation",Hand-labelled normal and immobilized intervals; absolute position information is not required,Real-robot outdoor experiments with offline processing,"Training on mud, loose mulch, and grasses; testing on a grassy hill and loose gravel mixed with dry soil","The SVM detects full immobilization using only proprioceptive signals, and fusing it with a model-based detector improves total detection accuracy while allowing a conservative zero-false-positive option",Four-feature SVM accuracy: 94.7%; IMU-only SVM accuracy: 92.0%; dynamic-model detector: 95.7%; Fusion 1: 91.7% with zero false positives; Fusion 2: 98.0% with zero false positives and six false negatives,"Future work is needed to assess SVM kernel choice, robot speed and configuration, alternate terrain types and situations, and fusion of more than two detectors","The method detects complete vehicle immobilization rather than partial or individual-wheel slip, requires hand-labelled offline training data, and does not model discontinuous rimless-wheel spoke contacts","Provides an early proprioceptive learning-based alternative to model-based slip detection, but its discrete whole-vehicle classifier differs from the proposed per-contact innovation-based rejection","Sections II-B, III-A–B, IV-C, and V; Table I",Fully verified,The uploaded paper is the 2007 ICRA conference paper. Do not cite it using a key that refers to the later 2009 journal version unless the bibliography entry is changed accordingly.,Learning-Based Slip Estimation,Core
Kruger2019,Estimating Wheel Slip of a Planetary Exploration Rover via Unsupervised Machine Learning,2019,Unsupervised learning-based slip classification,ProtoInnovations Lunar All-Terrain Utility Vehicle (LATUV) planetary rover,Four six-degree-of-freedom IMUs located near the wheels; wheel encoder or motor-position telemetry; drive and steering motor currents; RTK-GPS used only to construct ground-truth slip,"Self-organizing map, k-means clustering, and autoencoder classifiers; no Kalman state estimator","Discrete whole-rover slip class with two, three, four, five, or ten classes",None; classifiers operate on filtered windows of proprioceptive sensor measurements,"Sensor features from IMU, wheel velocity or acceleration, and motor current are mapped to unsupervised clusters or learned features and then associated with slip classes","Slip classification or coarse slip estimation; no odometry correction, measurement rejection, or control compensation is implemented","Slip is defined using conventional wheel angular velocity and fixed radius; inputs from all wheels are combined, implicitly treating the rover-level slip state rather than individual contacts","Two-fold cross-validation on collected field data; the learning is unsupervised, but labelled data is still required to associate clusters or features with physical slip classes and tune class boundaries",Slip ratio computed by comparing RTK-GPS rover velocity with wheel-encoder angular velocity; a one-second median filter is applied,Real-rover field trials with repeated train/test splits,Ten 15 m forward traverses up a sandy incline at fixed speeds from 0.05 to 0.25 m/s,"Self-organizing maps consistently provide the highest and most repeatable classification accuracy, while k-means is fastest but least accurate and autoencoders provide intermediate performance","SOM achieves 93–97% accuracy for two-class immobilization detection, 87–93% for three classes, and up to 71% for ten classes; at 0.10 m/s, three-class accuracy is about 88%; k-means is 5–30 percentage points worse than SOM and autoencoders are 2–10 points worse",The experiments cover only ten forward drives on one sandy slope; the methods combine all wheels and cannot identify which wheel is slipping; some supervision is required to assign clusters to slip classes; computational and storage requirements require further study,"The method cannot distinguish individual slipping wheels or spokes, depends on representative field data and an external velocity source for training labels, and assumes conventional fixed-radius wheel slip","Shows that proprioceptive learning can classify slip without visual odometry, but does not provide online per-spoke contact selection or directly correct an inertial state estimate",Abstract; Sections 3–5; Tables 1–2; Figures 4–6,Fully verified,"The paper calls the algorithms unsupervised, but explicitly states that a small amount of labelled data is required to associate learned clusters with semantic slip classes.",Learning-Based Slip Estimation,Core
Reginald2025,Visual-Inertial-Wheel Odometry with Slip Compensation and Dynamic Feature Elimination,2025,Learning-based wheel-slip compensation within visual-inertial-wheel odometry,Public KAIST urban robotic-platform dataset and a Clearpath Jackal four-wheel skid-steer UGV for indoor experiments,Camera; six-axis IMU; wheel encoders; the slip-compensation model also uses encoder velocities and pre-integrated inertial yaw information,Multi-State Constraint Kalman Filter (MSCKF),"Current inertial orientation, position, velocity, gyroscope bias, and accelerometer bias; cloned historical poses; wheel-odometry pose state",Nonlinear IMU kinematics propagate the MSCKF state,Visual feature constraints are filtered by a feature-confidence estimator; wheel-odometry increments are corrected by sparse Gaussian-process regression using CNN- or LSTM-based deep kernels before updating the MSCKF,Continuous learned odometry-error estimation and wheel-slip compensation; dynamic visual-feature elimination is handled separately,Planar differential-drive kinematics with conventional left and right wheel velocities and continuous wheel-ground interaction,"Supervised residual learning from physical wheel odometry and ground-truth pose increments; Adam optimizer, 100 epochs, 100 Hz samples; inducing points are used for sparse GPR",Ground-truth trajectories supplied with the KAIST dataset for outdoor evaluation; OptiTrack motion capture for indoor Jackal experiments,Evaluation on long real-world urban datasets plus controlled real-robot indoor experiments,Dynamic urban environments in the KAIST dataset; indoor floor experiments including gravel and sand layers,Correcting wheel-odometry increments with a recurrent deep-kernel GPR and removing dynamic visual features improves VIWO trajectory and rotation accuracy over uncorrected VIWO,"On the KAIST evaluation, MATE decreases from 11.45 m for uncorrected VIWO to 5.45 m with dynamic-point elimination and RNN-GPR slip compensation; MRTE decreases from 2.526 degrees to 1.079 degrees","The authors identify future needs for more advanced temporal models, unsupervised or self-supervised adaptation, and terrain-aware modelling for changing friction, inclination, and deformability","The approach requires cameras, ground-truth training data, and a comparatively complex learned model; it assumes continuous differential-drive kinematics and does not model individual rimless-wheel spoke contacts","Demonstrates data-driven correction of slip-affected wheel odometry rather than rejecting measurements, providing a useful contrast to the proposed lightweight proprioceptive PCV gating approach","Abstract; Sections 3.1–3.2, 4–7; Tables 1–4",Fully verified,"The paper evaluates slip compensation together with dynamic visual-feature elimination, so the reported overall improvement should not be attributed solely to the slip-compensation component.",Learning-Based Slip Estimation,Core
Brossard2019,Learning Wheel Odometry and IMU Errors for Localization,2019,Gaussian-process learning of wheel-odometry and IMU model residuals,Segway platform in the University of Michigan North Campus Long-Term Vision and LiDAR dataset; consumer car in the Complex Urban LiDAR dataset,Two wheel encoders; one-axis fiber-optic gyroscope; low-cost three-axis gyroscopes and accelerometers in a commodity IMU,Error-state Extended Kalman Filter built from learned propagation and observation models,"Three-dimensional position, Euler-angle orientation, and body-frame angular rates",Planar wheel-speed and fiber-optic-gyro kinematic model whose state increments are corrected using a multi-output Gaussian process with neural-network deep kernels,Integrated IMU pseudo-measurements update the EKF; both propagation and observation-model residuals can be learned from ground truth,"Learned generic odometry and inertial-model error correction; wheel slip is not explicitly detected, classified, or rejected",Conventional two-wheel planar-motion model with implicit continuous wheel contact,"Per-dataset supervised training from ground-truth poses and sensor logs; data split into 70% training, 15% cross-validation, and 15% testing; neural deep-kernel GP with stochastic variational inference",Ground-truth poses provided by the two public datasets; ground-truth speed is obtained by differentiating position,Offline evaluation on two public real-world datasets,Long-term campus Segway operation and urban consumer-car trajectories,"Learning residual corrections improves both wheel-odometry dead reckoning and EKF localization using wheel encoders, fiber-optic gyro, and IMU data","For the corrected propagation model, translation m-ATE decreases from 0.160 m to 0.091 m on the Segway dataset and from 0.035 m to 0.024 m on the car dataset; rotation m-ATE decreases from 2.75 to 1.78 degrees and from 0.49 to 0.24 degrees, respectively; corrected EKFs also outperform physical-model EKFs, although exact filter values are shown graphically rather than tabulated","Future work is required to determine what the Gaussian process learns, test generalization across datasets, and develop online learning using numerous but inaccurate ground-truth measurements","The corrections are learned separately for each dataset from external ground truth, the method does not explicitly distinguish slip from other modelling errors, and it assumes a continuous conventional-wheel model","Relevant as a learning-based odometry correction approach and as evidence that unmodelled wheel and IMU errors can be learned, but it is not itself a slip detector and should not be described as one",Abstract; Sections II–VI; Figure 2 and Figures 6–8,Fully verified,Use this paper under learning-based odometry-error correction rather than claiming that it explicitly estimates wheel slip.,Learning-Based Slip Estimation,Supporting
Li2023,Center of Mass Dynamics and Contact-Aided Invariant Filtering for Biped Robot State Estimation,2023,Contact-aided invariant filtering with center-of-mass dynamics,Defensor hydraulic biped robot model (12 actuated leg DoF; 115 kg),IMU; joint-position encoders; foot force/torque sensors,Right-invariant Extended Kalman Filter on an extended matrix Lie group,"Floating-base rotation, velocity, and position; center-of-mass velocity and position; contact-point position; gyroscope and accelerometer biases",IMU-based floating-base propagation augmented with center-of-mass dynamics derived from measured contact forces,Contact-limb forward kinematics and center-of-mass forward kinematics provide right-invariant measurement updates,Slip-robust auxiliary dynamics; no explicit slip detection or measurement rejection,"A detected support limb supplies a contact-kinematic constraint, while contact-point motion is represented with slippage noise; CoM dynamics are treated as less sensitive to contact slip","No training; requires robot kinematics, mass/dynamic model, and force-sensor measurements",Ground-truth states from the Simscape Multibody simulation,Simulation,Simulated biped walking with induced foot slip at several commanded speeds,Adding center-of-mass dynamics reduces floating-base velocity error in the direction affected by contact slip and directly provides center-of-mass state estimates,The floating-base velocity RMSE in the principal slip direction was reduced by 23.6% in the reported comparison; improvements were also reported at multiple reference speeds,"The authors note that contact information should be trusted more under external-force disturbances, whereas CoM information should be trusted more during contact slip; automatically determining this credibility is left for future work","The method requires foot force measurements and a biped dynamic model, and it does not select among multiple geometric potential contacts such as rimless-wheel spokes",Shows how contact-aided InEKF performance degrades under slipping contacts and how an additional proprioceptive dynamic constraint can improve robustness,Abstract; Sections III-V; Section VII and Tables I-II; Sections VIII-IX,Fully verified,"Useful as contact-aided InEKF literature, but the proposed CoM-force update is not directly transferable to the Coyote 3 sensor configuration",Contact-Aided Inertial State Estimation,Core
